0.1, 0.1, 100, 7, 0, 1
0.1, 0.1, 150, 0, 816, 1
0.1, 0.1, 200, 1, 1245, 1
0.1, 0.1, 250, 5, 0, 1
0.1, 0.1, 300, 0, 816, 0
0.1, 0.1, 350, 1, 816, 0
0.1, 0.1, 400, 5, 0, 0
0.1, 0.1, 450, 1, 816, 0
0.1, 0.1, 500, 0, 0, 0
0.2, 0.1, 100, 11, 816, 1
0.2, 0.1, 150, 1, 816, 1
0.2, 0.1, 200, 1, 0, 0 
0.2, 0.1, 250, 0, 0, 0
0.2, 0.1, 300, 0, 0, 1
0.2, 0.1, 350, 0, 0, 0
0.2, 0.1, 400, 0, 0, 1
0.2, 0.1, 450, 0, 0, 0
0.2, 0.1, 500, 0, 0, 0
0.3, 0.1, 100, 1, 0, 1
0.3, 0.1, 150, 5, 816, 0
0.3, 0.1, 200, 5, 0, 0
0.3, 0.1, 250, 0, 0, 1
0.3, 0.1, 300, 0, 816, 0
0.3, 0.1, 350, 0, 0, 0
0.3, 0.1, 400, 0, 0, 0
0.3, 0.1, 450, 0, 0, 0
0.3, 0.1, 500, 0, 0, 0
0.4, 0.1, 100, 1, 0, 1
0.4, 0.1, 150, 0, 894, 0
0.4, 0.1, 200, 0, 0, 0
0.4, 0.1, 250, 0, 816, 0
0.4, 0.1, 300, 0, 0, 0
0.4, 0.1, 350, 0, 0, 0
0.4, 0.1, 400, 0, 0, 0
0.4, 0.1, 450, 0, 0, 0
0.4, 0.1, 500, 0, 0, 0
