0.1, 0.9, 100, 1, 0, 1
0.1, 0.9, 150, 6, 894, 0
0.1, 0.9, 200, 0, 0, 1
0.1, 0.9, 250, 0, 0, 0
0.1, 0.9, 300, 0, 0, 0
0.1, 0.9, 350, 5, 816, 0
0.1, 0.9, 400, 0, 0, 0
0.1, 0.9, 450, 0, 0, 0
0.1, 0.9, 500, 0, 0, 0
0.2, 0.9, 100, 0, 1778, 1
0.2, 0.9, 150, 0, 1245, 0
0.2, 0.9, 200, 1, 0, 1
0.2, 0.9, 250, 0, 816, 0
0.2, 0.9, 300, 0, 0, 0
0.2, 0.9, 350, 0, 0, 0
0.2, 0.9, 400, 0, 0, 0
0.2, 0.9, 450, 0, 0, 0
0.2, 0.9, 500, 0, 0, 0
0.3, 0.9, 100, 5, 1230, 0
0.3, 0.9, 150, 0, 0, 0
0.3, 0.9, 200, 1, 1245, 0
0.3, 0.9, 250, 0, 816, 0
0.3, 0.9, 300, 0, 816, 0
0.3, 0.9, 350, 0, 0, 0
0.3, 0.9, 400, 0, 0, 0
0.3, 0.9, 450, 1, 816, 0
0.3, 0.9, 500, 0, 816, 0
0.4, 0.9, 100, 5, 0, 0
0.4, 0.9, 150, 5, 816, 0
0.4, 0.9, 200, 0, 0, 1
0.4, 0.9, 250, 0, 894, 0
0.4, 0.9, 300, 0, 0, 0
0.4, 0.9, 350, 0, 0, 0
0.4, 0.9, 400, 0, 0, 0
0.4, 0.9, 450, 0, 816, 0
0.4, 0.9, 500, 0, 0, 0
0.5, 0.9, 100, 1, 0, 0
0.5, 0.9, 150, 1, 894, 0

